ID,Airport,City,Country,Code
7517,Ryans Creek Aerodrome,Stewart Island,NZ,SZS
7519,Zhijiang Airport,Zhijiang,China,HJJ
7521,Yarmouth Airport,Yarmouth,Canada,YQI
7527,Lincang Airport,Lincang,China,LNJ
7528,Wenshan Airport,Wenshan,China,WNH
7529,Ponta Pelada Airport,Manaus,Brazil,PLL
7530,Sao Gabriel da Cachoeira Airport,Sao Gabriel da Cachoeira,Brazil,SJL
7532,Carajas Airport,Parauapebas,Brazil,CKS
7534,Cachimbo,Itaituba,Brazil,ITB
7535,Latur Airport,Latur,India,LTU
7536,Matak Airport,Anambas Islands,Indonesia,MWK
7537,Mainz Finthen,Mainz,Germany,QFZ
7539,Mainz,Mainz,Germany,QMZ
7540,Berlin Gatow,Berlin,Germany,GWW
7541,Rheine Bentlage,Rheine,Germany,ZPQ
7543,Tana Toraja Airport,Toraja,Indonesia,TTR
7546,Persian Gulf Airport,Khalije Fars,Iran,PGU
7547,Yasuj Airport,Yasuj,Iran,YES
7548,Mosul International Airport,Mosul,Iraq,OSB
7549,Tajima Airport,Toyooka,Japan,TJH
7550,Amakusa Airfield,Amakusa,Japan,AXJ
7551,Kikai Airport,Kikai,Japan,KKX
7552,Aguni Airport,Aguni,Japan,AGJ
7554,Haeju Airport,Haeju,North Korea,HAE
7555,Layang Layang Airport,Layang Layang Atoll,Malaysia,LAC
7557,Bulgan Airport,Bulgan,Mongolia,UGA
7558,Ulaangom Airport,Ulaangom,Mongolia,ULO
7559,Borongan Airport,Borongan,Philippines,BPR
7560,Lubang Community Airport,Lubang,Philippines,LBX
7561,Bentota Airport,Bentota,Sri Lanka,BJT
7562,Dickwella Airport,Dickwella,Sri Lanka,DIW
7563,Kulob Airport,Kulyab,Tajikistan,TJU
7564,Cimei Airport,Cimei,Taiwan,CMJ
7565,Dasoguz Airport,Dasoguz,Turkmenistan,TAZ
7566,Barrow Island Airport,Barrow Island,Australia,BWB
7567,Morawa Airport,Morawa,Australia,MWB
7568,Exmouth Airport,Exmouth,Australia,EXM
7569,Derby Airport,Derby,Australia,DRB
7570,Walgett Airport,Walgett,Australia,WGE
7571,Bathurst Island Airport,Bathurst Island,Australia,BRT
7572,Dunk Island Airport,Dunk Island,Australia,DKI
7573,Lizard Island Airport,Lizard Island,Australia,LZR
7574,Hamilton Airport,Hamilton,Australia,HLT
7575,Halls Creek Airport,Halls Creek,Australia,HCQ
7576,Fitzroy Crossing Airport,Fitzroy Crossing,Australia,FIZ
7577,Ravensthorpe Airport,Ravensthorpe,Australia,RVT
7589,Marakei Airport,Marakei,Kiribati,MZK
7590,Abemama Atoll Airport,Abemama,Kiribati,AEA
7591,Aranuka Airport,Buariki,Kiribati,AAK
7592,Kuria Airport,Kuria,Kiribati,KUC
7593,Arorae Island Airport,Arorae,Kiribati,AIS
7594,Tamana Airport,Tamana,Kiribati,TMN
7595,Beru Island Airport,Beru Island,Kiribati,BEZ
7596,Nikunau Airport,Nikunau,Kiribati,NIG
7597,Butaritari Atoll Airport,Butaritari,Kiribati,BBG
7598,Makin Airport,Makin,Kiribati,MTK
7599,Maiana Airport,Maiana,Kiribati,MNK
7600,Nonouti Airport,Nonouti,Kiribati,NON
7601,Tabiteuea South Airport,Tabiteuea,Kiribati,TSU
7602,Bosset Airport,Bosset,Papua New Guinea,BOT
7603,Ine Airport,Ine,Marshall Islands,IMI
7604,Tinak Airport,Tinak,Marshall Islands,TIC
7606,Elenak Airport,Elenak,Marshall Islands,EAL
7607,Lae Airport,Lae,Marshall Islands,LML
7608,Airok Airport,Airok,Marshall Islands,AIC
7609,Enejit Airport,Enejit,Marshall Islands,EJT
7610,Whitianga Airport,Whitianga,NZ,WTZ
7611,Takaka Aerodrome,Takaka,NZ,KTF
7612,Peleliu Airfield,Peleliu,Palau,C23
7614,Asau Airport,Savai\\'i,Samoa,AAU
7615,Afutara Airport,Afutara,Solomon Islands,AFT
7616,Ulawa Airport,Ulawa,Solomon Islands,RNA
7617,Choiseul Bay Airport,Choiseul Bay,Solomon Islands,CHY
7618,Santa Ana Airport,Santa Ana,Solomon Islands,NNB
7619,Yandina Airport,Yandina,Solomon Islands,XYA
7620,Batuna Airport,Batuna,Solomon Islands,BPF
7622,Sokerkino,Kostroma,Russia,KMW
7627,Fitiuta Airport,Fiti\\'uta,American Samoa,FTI
7628,Ofu Airport,Ofu,American Samoa,OFU
7633,Grootfontein,Grootfontein,Namibia,GFY
7634,Rundu,Rundu,Namibia,NDU
7635,Beppu Airport,Beppu,Japan,BPU
7636,Heron Island,Heron Island,Australia,HRN
7637,Lady Elliot Island,Lady Elliot Island,Australia,LYT
7638,Orpheus Island,Orpheus Island,Australia,ORS
7639,Paddington Station,London,UK,QQP
7642,Tasiilaq,Angmagssalik,Greenland,AGM
7664,Kineshma,Kineshma,Russia,KIE
7665,Nezhitino,Nezhitino,Russia,NEZ
7668,Machu Pichu Airport,Machu Pichu,Peru,MFT
7671,Valenca Airport,Valenca,Brazil,VAL
7672,Dix Sept Rosado Airport,Mossoro,Brazil,MVF
7673,Caruaru Airport,Caruaru,Brazil,CAU
7674,Wake Island Afld,Wake island,Wake Island,AWK
7675,Aeroclube de Nova Iguacu,Nova Iguacu,Brazil,QNV
7676,Gare du Nord,Paris,France,XPG
7677,Gare Montparnasse,Paris,France,XGB
7678,Saint-Pierre-des-Corps,Tours,France,XSH
7685,Koszalin - Zegrze Pomorskie Airport,Koszalin,Poland,OSZ
7689,Lelystad Airport,Lelystad,Netherlands,LEY
7695,Cotopaxi International Airport,Latacunga,Ecuador,LTX
7696,London St Pancras,London,UK,STP
7697,Amsterdam Centraal,Amsterdam,Netherlands,ZYA
7698,Mammy Yoko Heliport,Freetown,Sierra Leone,JMY
7700,Phan Rang Airport,Phan Rang,Vietnam,PHA
7701,Na-San Airport,Son-La,Vietnam,SQH
7703,Frejus Saint Raphael,Frejus,France,FRJ
7704,Geelong Airport,Geelong,Australia,GEX
7707,Berlin Hauptbahnhof,Berlin,Germany,QPP
7708,Amsterdam Centraal,Amsterdam,Netherlands,ZYA
7715,Wideawake Field,Georgetown Acension Island Santa Helena,UK,ASI
7718,Kota Kinabalu Airport,Kota Kinabalu,Malaysia,ZWR
7725,Hernesaari Heliport,Helsinki,Finland,HEN
7766,Syangboche,Syangboche,Nepal,SYH
7772,Fenosu,Oristano,Italy,FNU
7774,Mysore Airport,Mysore,India,MYQ
7782,Penneshaw Airport,Penneshaw,Australia,PEA
7784,Kaufbeuren BF,Kaufbeuren,Germany,KFX
7785,Munich HBF,Munich,Germany,MUQ
7786,Nurnberg HBF,Nurnberg,Germany,NUR
7787,Ebenhofen BF,Ebenhofen,Germany,EBE
7788,Augsburg HBF,Augsburg,Germany,AUB
7789,Biessenhofen BF,Biessenhofen,Germany,BIE
7790,Buchloe BF,Buchloe,Germany,BUH
7791,Fussen BF,Fussen,Germany,FUX
7792,Kempten HBF,Kempten,Germany,KEX
7793,Aiome,Aiome,Papua New Guinea,AIE
7794,Simbai,Simbai,Papua New Guinea,SIM
7795,Ambunti,Ambunti,Papua New Guinea,AUJ
7798,Marktoberdorf BF,Marktoberdorf,Germany,OAL
7799,Marktoberdorf Schule,Marktoberdorf,Germany,MOS
7800,Essen HBF,Essen,Germany,ESX
7801,Bochum HBF,Bochum,Germany,BOX
7802,Koln HBF,Koln,Germany,KOX
7805,Bembridge,Bembridge,UK,BBP
7808,Leuterschach BF,Leuterschach,Germany,LES
7810,Knokke-Heist Westkapelle Heliport,Knokke,Belgium,KNO
7812,Gdynia,Gdynia,Poland,QYD
7821,Zonguldak,Zonguldak,Turkey,ONQ
7830,Kasaba Bay Airport,Kasaba Bay,Zambia,ZKB
7831,Lindau HBF,Lindau,Germany,LND
7832,Guardiamarina Zanartu Airport,Puerto Williams,Chile,WPU
7833,Volkel AB,Volkel,Netherlands,UDE
7842,Hatfield,Hatfield,UK,HTF
7852,Krymsk,Novorossiysk,Russia,NOI
7853,Minhad HB,Minhad AB,UAE,NHD
7854,Kirovograd,Kirovograd,Ukraine,KGO
7856,Alalamain Intl.,Dabaa City,Egypt,DBB
7858,Heidelberg,Heidelberg,Germany,HDB
7861,Chkalovsky Airport,Shchyolkovo,Russia,CKL
7862,Tengchong Tuofeng Airport,Tengchong,China,TCZ
7863,Belbek Sevastopol International Airport,Sevastopol,Ukraine,UKS
8420,Berlin Brandenburg Willy Brandt,Berlin,Germany,BER
7865,Paradise Island Seaplane Base,Nassau,Bahamas,WZY
7871,Stafsberg Airport,Hamar,Norway,HMR
7877,Stockholm Cruise Port,Stockholm,Sweden,STO
7878,Helsingborg Cruise Port,Helsingborg,Sweden,JHE
7894,Yushu Batang,Yushu,China,YUS
7895,Playon Chico,Playon Chico,Panama,PYC
7896,Ustupo,Ustupo,Panama,UTU
